time,coin,dir,px,sz,ntl,fee,closedPnl
4/2/2026 - 20:35:40,kPEPE,Close Long,0.00332,5358,17.78856,0.007684,-0.31309000000000003
4/3/2026 - 05:37:03,kPEPE,Open Long,0.003364,5356,18.017584,0.007783,-0.007783
4/3/2026 - 06:44:05,kPEPE,Close Long,0.003362,5356,18.006872,0.007778,-0.01849
4/3/2026 - 07:35:48,DOGE,Open Long,0.091414,197,18.008558,0.007779,-0.007779
4/3/2026 - 08:42:51,LINK,Open Long,8.7177,2,17.4354,0.007532,-0.007532
4/3/2026 - 11:27:48,LINK,Close Long,8.6827,2,17.3654,0.007501,-0.077501
4/3/2026 - 14:33:24,XRP,Open Long,1.3251,13,17.2263,0.007441,-0.007441
4/3/2026 - 15:09:31,LINK,Open Short,8.6653,2,17.3306,0.007486,-0.007486
4/3/2026 - 15:14:42,DOGE,Close Long,0.090965,197,17.920105,0.007741,-0.096194
4/3/2026 - 18:10:12,LINK,Close Short,8.6898,2,17.3796,0.007507,-0.056507
4/3/2026 - 18:30:49,SOL,Open Long,80.59,0.22,17.7298,0.007659,-0.007659
4/3/2026 - 21:15:57,XRP,Close Long,1.313,13,17.069,0.007373,-0.16467299999999999
4/3/2026 - 23:30:04,LINK,Open Long,8.7021,2,17.4042,0.007518,-0.007518
4/4/2026 - 03:18:10,kPEPE,Open Short,0.003376,5281,17.828656,0.007701,-0.007701
4/4/2026 - 03:33:42,DOGE,Open Short,0.091181,195,17.780295,0.007681,-0.007681
4/4/2026 - 05:11:36,kPEPE,Close Short,0.003369,5281,17.791689,0.007686,0.029281
4/4/2026 - 06:34:12,DOGE,Close Short,0.091277,195,17.799015,0.007689,-0.026409000000000002
4/4/2026 - 10:36:36,DOGE,Open Short,0.091119,195,17.768205000000002,0.007675,-0.007675
4/4/2026 - 12:12:06,SOL,Close Long,80.018,0.22,17.60396,0.007604,-0.133444
4/4/2026 - 12:12:06,DOGE,Close Short,0.09079,195,17.70405,0.007648,0.056507
4/4/2026 - 12:12:06,LINK,Close Long,8.6302,2,17.2604,0.007456,-0.151256
4/4/2026 - 12:50:27,XRP,Open Short,1.312,13,17.056,0.007368,-0.007368
4/4/2026 - 13:00:47,AAVE,Open Short,95.02,0.18,17.1036,0.007388,-0.007388
4/4/2026 - 13:55:38,DOGE,Open Short,0.091122,195,17.76879,0.007676,-0.007676
4/4/2026 - 14:06:03,AAVE,Close Short,94.789,0.18,17.06202,0.00737,0.03421
4/4/2026 - 16:43:59,kPEPE,Open Short,0.003354,5322,17.849988,0.007711,-0.007711
4/4/2026 - 16:49:18,AAVE,Open Long,94.666,0.23,21.77318,0.009406,-0.009406
4/4/2026 - 17:25:50,AAVE,Close Long,94.988,0.23,21.84724,0.009438,0.064622
4/4/2026 - 18:07:35,DOGE,Close Short,0.091569,195,17.855954999999998,0.007713,-0.094878
4/4/2026 - 20:34:13,kPEPE,Close Short,0.003405,5322,18.12141,0.007828,-0.27925
4/4/2026 - 20:34:29,HEMI,Open Long,0.008523,2083,17.753408999999998,0.007669,-0.007669
4/4/2026 - 21:07:24,HEMI,Close Long,0.008367,2083,17.428461,0.007529,-0.332477
4/5/2026 - 00:14:55,XRP,Close Short,1.3168,13,17.1184,0.007395,-0.069795
4/5/2026 - 05:38:50,AAVE,Open Short,93.995,0.18,16.9191,0.007309,-0.007309
4/5/2026 - 07:29:51,XRP,Open Short,1.3059,11,14.3649,0.006205,-0.006205
4/5/2026 - 07:29:51,XRP,Open Short,1.3059,2,2.6118,0.001128,-0.001128
4/5/2026 - 07:56:12,DOGE,Open Short,0.090625,195,17.671875,0.007634,-0.007634
4/5/2026 - 08:12:01,SOL,Open Short,79.746,0.22,17.54412,0.007579,-0.007579
4/5/2026 - 08:12:11,ETH,Open Short,2035.6,0.0087,17.709719999999997,0.00765,-0.00765
4/5/2026 - 08:17:28,LINK,Open Short,8.5188,2,17.0376,0.00736,-0.00736
4/5/2026 - 08:27:58,AAVE,Close Short,92.776,0.18,16.699679999999997,0.007214,0.212206
4/5/2026 - 08:33:17,DOGE,Close Short,0.090328,195,17.613960000000002,0.007609,0.050306000000000003
4/5/2026 - 08:33:24,XRP,Close Short,1.3005,13,16.9065,0.007303,0.062897
4/5/2026 - 09:05:03,HEMI,Open Long,0.008868,1996,17.700528,0.007646,-0.007646
4/5/2026 - 09:20:53,HEMI,Close Long,0.008658,1996,17.281368,0.007465,-0.426625
4/5/2026 - 10:55:42,AAVE,Open Short,92.843,0.18,16.71174,0.007219,-0.007219
4/5/2026 - 11:47:00,XRP,Open Short,1.2996,13,16.8948,0.007298,-0.007298
4/5/2026 - 12:08:00,DOGE,Open Short,0.090234,194,17.505395999999998,0.007562,-0.007562
4/5/2026 - 13:53:48,AAVE,Close Short,92.094,0.18,16.576919999999998,0.007161,0.127659
4/5/2026 - 15:07:45,SOL,Close Short,79.097,0.22,17.401339999999998,0.007517,0.135263
4/5/2026 - 15:07:54,ETH,Close Short,2028.7,0.0087,17.64969,0.007624,0.052406
4/5/2026 - 15:07:57,XRP,Close Short,1.2843,13,16.6959,0.007212,0.191688
4/5/2026 - 15:34:24,MERL,Open Short,0.023602,751,17.725102,0.007657,-0.007657
4/5/2026 - 18:59:57,SOL,Open Short,79.403,0.22,17.46866,0.007546,-0.007546
4/5/2026 - 19:00:13,XRP,Open Short,1.297,13,16.861,0.007283,-0.007283
4/5/2026 - 21:57:08,MERL,Close Short,0.02351,751,17.65601,0.007627,0.061465
4/6/2026 - 00:03:58,ETH,Open Long,2064.9,0.0085,17.551650000000002,0.007582,-0.007582
4/6/2026 - 00:04:04,MERL,Open Short,0.02309,762,17.59458,0.0076,-0.0076
4/6/2026 - 01:02:05,LINK,Close Short,8.7041,2,17.4082,0.00752,-0.37812
4/6/2026 - 01:02:10,XRP,Close Short,1.3121,13,17.0573,0.007368,-0.20366800000000002
4/6/2026 - 01:17:51,SOL,Close Short,81.734,0.22,17.981479999999998,0.007767,-0.520587
4/6/2026 - 01:17:56,DOGE,Close Short,0.09231,194,17.90814,0.007736,-0.41048
4/6/2026 - 01:23:12,AAVE,Open Long,93.708,0.18,16.86744,0.007286,-0.007286
4/6/2026 - 01:39:08,MERL,Close Short,0.023584,762,17.971008,0.007763,-0.384191
4/6/2026 - 01:44:22,ETH,Close Long,2109.2,0.0085,17.9282,0.007744,0.368806
4/6/2026 - 02:05:28,DOGE,Open Long,0.092781,187,17.350047,0.007495,-0.007495
4/6/2026 - 02:05:31,LINK,Open Long,8.8968,1.9,16.90392,0.007302,-0.007302
4/6/2026 - 02:05:35,ETH,Open Long,2122.6,0.0082,17.40532,0.007519,-0.007519
4/6/2026 - 02:05:39,XRP,Open Long,1.3348,13,17.3524,0.007496,-0.007496
4/6/2026 - 02:10:48,SOL,Open Long,82.198,0.21,17.26158,0.007457,-0.007457
4/6/2026 - 02:10:51,AAVE,Close Long,94.47,0.18,17.0046,0.007345,0.129815
4/6/2026 - 02:26:41,kPEPE,Open Long,0.003598,4839,17.410722,0.007521,-0.007521
4/6/2026 - 02:37:20,SOL,Close Long,82.431,0.21,17.310509999999997,0.007478,0.041452
4/6/2026 - 02:37:25,DOGE,Close Long,0.093076,187,17.405212000000002,0.007519,0.047646
4/6/2026 - 02:58:36,LINK,Close Long,8.9196,1.9,16.94724,0.007321,0.035998999999999996
4/6/2026 - 04:23:13,XRP,Close Long,1.3418,13,17.4434,0.007535,0.083465
